Date,DailyVolume,DailyReturn
9/3/2011,1996700000,-0.005079977
10/3/2011,2363330000,-0.018424822
11/3/2011,1851810000,0.005401695
14/3/2011,1782070000,-0.005391104
15/3/2011,2359830000,-0.012454745
16/3/2011,2596000000,-0.018936543
17/3/2011,1994360000,0.007348607
18/3/2011,1986900000,0.00289064
21/3/2011,1751060000,0.018315511
22/3/2011,1657430000,-0.003053379
23/3/2011,1769950000,0.005376539
24/3/2011,1954180000,0.014127366
25/3/2011,1857570000,0.002426578
28/3/2011,1669260000,-0.004513254
29/3/2011,1631160000,0.009598328
30/3/2011,1818410000,0.007218332
31/3/2011,1896420000,0.001541359
1/4/2011,2090120000,0.003067176
4/4/2011,1705920000,-0.000147031
5/4/2011,1954520000,0.000717054
6/4/2011,1996750000,0.003091917
7/4/2011,1806900000,-0.001314433
8/4/2011,1650810000,-0.005622026
11/4/2011,2053190000,-0.00320452
12/4/2011,1818610000,-0.009640943
13/4/2011,1744940000,0.006095177
14/4/2011,1717650000,-0.000470773
15/4/2011,1785050000,0.00160492
18/4/2011,1786230000,-0.010587243
19/4/2011,1675970000,0.003505944
20/4/2011,2094470000,0.020961992
21/4/2011,2094470000,0.006297891
25/4/2011,1480600000,0.002028243
26/4/2011,2057740000,0.007664925
27/4/2011,2071380000,0.007845313
28/4/2011,1983630000,0.000923434
29/4/2011,2455650000,0.00035161
2/5/2011,2062630000,-0.003292093
3/5/2011,2214380000,-0.007841946
4/5/2011,2209580000,-0.004712149
5/5/2011,2227690000,-0.004776842
6/5/2011,2043740000,0.004561764
9/5/2011,1649110000,0.005548933
10/5/2011,2018000000,0.010072942
11/5/2011,2258770000,-0.009342222
12/5/2011,2209650000,0.006319719
13/5/2011,1917050000,-0.012074602
16/5/2011,2066020000,-0.016319746
17/5/2011,2220440000,0.000323437
18/5/2011,1875150000,0.011422077
19/5/2011,1753390000,0.002952064
20/5/2011,1780140000,-0.007080339
23/5/2011,1795680000,-0.015845556
24/5/2011,1875370000,-0.004617779
25/5/2011,1894510000,0.005542274
26/5/2011,1904400000,0.007800462
27/5/2011,1641320000,0.005009194
31/5/2011,2450090000,0.013743963
1/6/2011,2254850000,-0.023316794
2/6/2011,1919030000,0.001487842
3/6/2011,1936400000,-0.014614316
6/6/2011,1878150000,-0.011058325
7/6/2011,1847300000,-0.00037002
8/6/2011,2089320000,-0.009690762
9/6/2011,1704960000,0.003547247
10/6/2011,1972000000,-0.015322952
13/6/2011,1847050000,-0.001528159
14/6/2011,1701300000,0.014785839
15/6/2011,1982430000,-0.017642759
16/6/2011,1958250000,-0.002948937
17/6/2011,2393690000,-0.002751828
20/6/2011,1625850000,0.005037276
21/6/2011,1882490000,0.02190401
22/6/2011,1617370000,-0.006724347
23/6/2011,2060450000,0.006578797
24/6/2011,2842870000,-0.012602627
27/6/2011,1710740000,0.01334022
28/6/2011,1682590000,0.015262558
29/6/2011,1804490000,0.004096248
30/6/2011,1859130000,0.0120526
1/7/2011,1646380000,0.015327097
5/7/2011,1556620000,0.003458767
6/7/2011,1639490000,0.002919558
7/7/2011,1873710000,0.013634305
8/7/2011,1612120000,-0.004473155
11/7/2011,1765920000,-0.019997811
12/7/2011,2015410000,-0.007389587
13/7/2011,1885510000,0.005395577
14/7/2011,1946500000,-0.012245613
15/7/2011,1804380000,0.009820256
